sample_id	env
ERS475105	control
ERS475106	control
ERS475107	control
ERS475108	control
ERS475110	control
ERS475111	control
ERS475113	control
ERS475115	control
ERS475116	control
ERS475119	control
ERS475121	control
ERS475122	control
ERS475123	control
ERS475124	control
ERS475125	control
ERS475126	control
ERS475127	control
ERS475128	control
ERS475130	control
ERS475131	control
ERS475132	control
ERS475133	control
ERS475135	control
ERS475136	control
ERS475137	control
ERS475138	control
ERS475139	control
ERS475140	control
ERS475141	control
ERS475142	control
ERS475144	control
ERS475145	control
ERS475147	control
ERS475148	control
ERS475149	control
ERS475150	control
ERS475151	control
ERS475153	control
ERS475154	control
ERS475156	control
ERS475158	control
ERS475160	control
ERS475161	control
ERS475163	control
ERS475164	control
ERS475165	control
ERS475166	control
ERS475167	control
ERS475168	control
ERS475170	control
ERS475172	control
ERS475173	control
ERS475175	control
ERS475176	control
ERS475178	control
ERS475180	control
ERS475181	control
ERS475182	control
ERS475183	control
ERS475184	control
ERS475185	control
ERS475186	control
ERS475187	control
ERS475188	control
ERS475189	control
ERS475190	control
ERS475191	control
ERS475192	control
ERS475193	control
ERS475194	control
ERS475195	control
ERS475196	control
ERS475197	control
ERS475198	control
ERS475199	control
ERS475200	control
ERS475201	control
ERS475202	control
ERS475203	control
ERS475204	control
ERS475205	control
ERS475206	control
ERS475207	control
ERS475208	control
ERS475209	control
ERS475211	control
ERS475212	control
ERS475214	control
ERS475216	control
ERS475218	control
ERS475219	control
ERS475220	control
ERS475222	control
ERS475224	control
ERS475225	control
ERS475227	control
ERS475228	control
ERS475229	control
ERS475230	control
ERS475231	control
ERS475232	control
ERS475233	control
ERS475234	control
ERS475235	control
ERS475236	control
ERS475237	control
ERS475238	control
ERS475239	control
ERS475241	control
ERS475242	control
ERS475243	control
ERS475244	control
ERS475246	control
ERS475247	control
ERS475248	case
ERS475250	case
ERS475251	case
ERS475252	case
ERS475254	case
ERS475255	case
ERS475256	case
ERS475257	case
ERS475258	case
ERS475260	case
ERS475261	case
ERS475262	case
ERS475264	case
ERS475266	case
ERS475267	case
ERS475268	case
ERS475270	case
ERS475272	case
ERS475273	case
ERS475276	case
ERS475278	case
ERS475279	case
ERS475280	case
ERS475283	case
ERS475286	case
ERS475287	case
ERS475289	case
ERS475290	case
ERS475291	case
ERS475294	case
ERS475295	case
ERS475296	case
ERS475297	case
ERS475298	case
ERS475301	case
ERS475302	case
ERS475303	case
ERS475304	case
ERS475305	case
ERS475306	case
ERS475307	case
ERS475309	case
ERS475311	case
ERS475313	case
ERS475314	case
ERS475315	case
ERS475316	case
ERS475317	case
ERS475318	case
ERS475319	case
ERS475321	case
ERS475323	case
ERS475324	case
ERS475325	case
ERS475326	case
ERS475328	case
ERS475329	case
ERS475330	case
ERS475331	case
ERS475332	case
ERS475334	case
ERS475337	case
ERS475338	case
ERS475340	case
ERS475341	case
ERS475342	case
ERS475343	case
ERS475345	case
ERS475347	case
ERS475348	case
ERS475349	case
ERS475350	case
ERS475351	case
ERS475352	case
ERS475353	case
ERS475354	case
ERS475355	case
ERS475356	case
ERS475357	case
ERS475358	case
ERS475359	case
ERS475360	case
ERS475361	case
ERS475362	case
ERS475363	case
ERS475365	case
ERS475366	case
ERS475367	case
ERS475368	case
ERS475369	case
ERS475370	case
ERS475371	case
ERS475372	case
ERS475373	case
ERS475374	case
ERS475375	case
ERS475376	case
ERS475378	case
ERS475380	case
ERS475382	case
ERS475383	case
ERS475384	case
ERS475385	case
ERS475388	case
ERS475390	case
ERS475391	case
ERS475392	case
ERS475394	case
ERS475395	case
ERS475397	case
ERS475398	case
ERS475399	case
ERS475400	case
ERS475401	case
ERS475402	case
ERS475403	case
ERS475407	case
ERS475409	case
ERS475410	case
ERS475412	case
ERS475414	case
ERS475415	case
ERS475416	case
